Date,Adj Close,Close,High,Low,Open,Volume
2021-06-24 00:00:00+00:00,354.3987427,361.2000122,361.2000122,295,301,41848082
2021-06-25 00:00:00+00:00,357.8328247,364.7000122,413.8999939,355.4500122,387.8999939,30784367
2021-06-28 00:00:00+00:00,340.956665,347.5,361.7000122,337.2999878,357,5967165
2021-06-29 00:00:00+00:00,342.5265808,349.1000061,352,340.8500061,345,2476272
2021-06-30 00:00:00+00:00,335.8546143,342.2999878,359,341.2999878,350.75,983870
2021-07-01 00:00:00+00:00,338.4547119,344.9500122,350,333.25,342,1740419
2021-07-02 00:00:00+00:00,370.3427734,377.4500122,385,341.2999878,343,4600866
2021-07-05 00:00:00+00:00,375.8372498,383.0499878,387.8999939,366.5,381.3999939,3150274
2021-07-06 00:00:00+00:00,380.6940613,388,395.7000122,376,382.6499939,3504682
2021-07-07 00:00:00+00:00,397.7173767,405.3500061,420.7999878,378.5,384.25,5935443
2021-07-08 00:00:00+00:00,394.8720093,402.4500122,412.3999939,396.1000061,404.75,2421453
2021-07-09 00:00:00+00:00,414.2991943,422.25,426.7999878,398.0499878,400,3886823
2021-07-12 00:00:00+00:00,401.3967896,409.1000061,427,402,424.8999939,1845286
2021-07-13 00:00:00+00:00,394.4795227,402.0499878,415.5,400.3999939,411,1526457
2021-07-14 00:00:00+00:00,394.2342224,401.7999878,406.9500122,399,404.9500122,625983
2021-07-15 00:00:00+00:00,387.2679138,394.7000122,409.2999878,392.2000122,404.7000122,727281
2021-07-16 00:00:00+00:00,393.9398804,401.5,409,399.2000122,400,1023571
2021-07-19 00:00:00+00:00,386.3848572,393.7999878,404.9500122,388,399.5,1220437
2021-07-20 00:00:00+00:00,431.5678101,439.8500061,456.8999939,392,401.7000122,8324982
2021-07-22 00:00:00+00:00,432.2055054,440.5,452,411.1000061,428,9450575
2021-07-23 00:00:00+00:00,415.2803955,423.25,452.8999939,418.75,441,4378428
2021-07-26 00:00:00+00:00,397.9136353,405.5499878,424,402.6000061,424,3491888
2021-07-27 00:00:00+00:00,389.1321411,396.6000061,415.4500122,393.8500061,408,2330599
2021-07-28 00:00:00+00:00,410.8651428,418.75,424.2999878,395.5,400.4500122,4790986
2021-07-29 00:00:00+00:00,427.2015686,435.3999939,438.9500122,416.1000061,420.75,2548002
2021-07-30 00:00:00+00:00,430.9790649,439.25,443.9500122,426.7000122,432.8500061,1833069
2021-08-02 00:00:00+00:00,430.9790649,439.25,454.25,435.5,442.6499939,2478124
2021-08-03 00:00:00+00:00,427.8392944,436.0499878,446.7999878,432.2000122,443,909060
2021-08-04 00:00:00+00:00,414.0048218,421.9500122,439.75,421,439.75,1674935
2021-08-05 00:00:00+00:00,401.7892151,409.5,425,408,424.8999939,1476251
2021-08-06 00:00:00+00:00,403.7025452,411.4500122,422.5,408,410.2000122,1736766
2021-08-09 00:00:00+00:00,468.8031616,477.7999878,486.7000122,427.25,427.7000122,13161558
2021-08-10 00:00:00+00:00,480.1356812,489.3500061,559.4000244,474,481.25,20850838
2021-08-11 00:00:00+00:00,489.5058899,498.8999939,522.9000244,478.3500061,497.7999878,7578893
2021-08-12 00:00:00+00:00,481.999939,491.25,508.75,486.8500061,503.7000122,1918516
2021-08-13 00:00:00+00:00,492.3513184,501.7999878,517.4000244,494.1499939,494.1499939,2797664
2021-08-16 00:00:00+00:00,506.5291443,516.25,542,493.0499878,503.5,5838267
2021-08-17 00:00:00+00:00,487.0039063,496.3500061,523.7999878,494,515.4000244,2846613
2021-08-18 00:00:00+00:00,464.8294373,473.75,504.75,464.1000061,498.9500122,3623680
2021-08-20 00:00:00+00:00,457.5688171,466.3500061,493,463,467.6000061,2441515
2021-08-23 00:00:00+00:00,436.8170471,445.2000122,480.8999939,438.1499939,472.1499939,2657952
2021-08-24 00:00:00+00:00,441.6737976,450.1499939,456.5,440.2000122,448.6499939,2849668
2021-08-25 00:00:00+00:00,463.5048523,472.3999939,491.1499939,455.25,457,4691070
2021-08-26 00:00:00+00:00,462.6218262,471.5,484,466.1499939,475,2658679
2021-08-27 00:00:00+00:00,465.2709961,474.2000122,478.8999939,467.2000122,471,1346020
2021-08-30 00:00:00+00:00,502.9969788,512.6500244,521.7000122,483,483,5769574
2021-08-31 00:00:00+00:00,490.6832581,500.1000061,518.7999878,496.3999939,510,2502460
2021-09-01 00:00:00+00:00,489.0643616,498.4500122,513.0999756,496,500.1000061,1701574
2021-09-02 00:00:00+00:00,485.2378235,494.5499878,511,493,498.5,1525755
